		Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	Ident-Prom
		Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	Ident-Prom
	[H H1 H H V] \-> H (H1 H) H V		0	3	0	0	0	0	3	0	1	1	2	1	3	1	1	0	1
	[H H H1 H V] \-> H (H H1) H V		0	3	0	0	0	0	2	1	0	1	2	2	2	1	1	0	1
	[H H1 H H V] \-> H (H1 H) H V		0	3	0	0	0	0	3	0	1	1	2	1	3	1	1	0	1
	[H H H1 H V] \-> H (H H1) H V		0	3	0	0	0	0	2	1	0	1	2	2	2	1	1	0	1
	[H H H1 H V] \-> H H (H1 H) V		0	3	0	0	0	0	3	0	1	2	1	2	2	1	1	0	1
	[H H H H1 V] \-> H H (H H1) V		0	3	0	0	0	0	2	1	0	2	1	3	1	1	1	0	1
	[H H H H1 V] \-> H H H (H1 V)		0	3	0	0	1	0	3	0	1	3	0	3	1	1	0	1	1
	[H H H H V1] \-> H H H H (V1)		0	4	1	1	1	0	4	0	0	4	0	4	0	1	0	0	1
/H1 H H H V:/	[H1 H H H V:] \-> (H1) H H H V:	1	0	4	0	0	0	1	4	0	0	0	4	0	4	0	1	0	0
	[H H1 H H V:] \-> H (H1) H H V:		0	4	0	0	0	0	4	0	0	1	3	1	3	1	1	0	1
	[H H H1 H V:] \-> H H (H1) H V:		0	4	0	0	0	0	4	0	0	2	2	2	2	1	1	0	1
	[H H H H1 V:] \-> H H H (H1) V:		0	4	0	0	0	0	4	0	0	3	1	3	1	1	1	0	1
	[H H H H V:1] \-> H H H H (V:1)		0	4	0	1	1	0	4	0	0	4	0	4	0	1	0	0	1
	[H1 H H H V:] \-> (H1 H) H H V:		0	3	0	0	0	1	4	0	1	0	3	0	4	0	1	0	1
	[H H1 H H V:] \-> (H H1) H H V:		0	3	0	0	0	1	3	1	0	0	3	1	3	0	1	0	1
	[H H1 H H V:] \-> H (H1 H) H V:		0	3	0	0	0	0	4	0	1	1	2	1	3	1	1	0	1
	[H H H1 H V:] \-> H (H H1) H V:		0	3	0	0	0	0	3	1	0	1	2	2	2	1	1	0	1
	[H H1 H H V:] \-> H (H1 H) H V:		0	3	0	0	0	0	4	0	1	1	2	1	3	1	1	0	1
	[H H H1 H V:] \-> H (H H1) H V:		0	3	0	0	0	0	3	1	0	1	2	2	2	1	1	0	1
	[H H H1 H V:] \-> H H (H1 H) V:		0	3	0	0	0	0	4	0	1	2	1	2	2	1	1	0	1
	[H H H H1 V:] \-> H H (H H1) V:		0	3	0	0	0	0	3	1	0	2	1	3	1	1	1	0	1
	[H H H H1 V:] \-> H H H (H1 V:)		0	3	0	0	1	0	4	0	1	3	0	3	1	1	0	0	1
	[H H H H V:1] \-> H H H H (V:1)		0	4	0	1	1	0	4	0	0	4	0	4	0	1	0	0	1
/H1 H H H VC/	[H1 H H H VC] \-> (H1) H H H VC	1	0	4	0	0	0	1	4	0	0	0	4	0	4	0	1	0	0
	[H H1 H H VC] \-> H (H1) H H VC		0	4	0	0	0	0	4	0	0	1	3	1	3	1	1	0	1
	[H H H1 H VC] \-> H H (H1) H VC		0	4	0	0	0	0	4	0	0	2	2	2	2	1	1	0	1
	[H H H H1 VC] \-> H H H (H1) VC		0	4	0	0	0	0	4	0	0	3	1	3	1	1	1	0	1
	[H H H H V1C] \-> H H H H (V1C)		0	4	0	1	1	0	4	0	0	4	0	4	0	1	0	0	1
	[H H H H V1C] \-> H H H H (V1)C		1	4	1	1	0	0	4	0	0	4	0	4	0	1	1	0	1
	[H1 H H H VC] \-> (H1 H) H H VC		0	3	0	0	0	1	4	0	1	0	3	0	4	0	1	0	1
	[H H1 H H VC] \-> (H H1) H H VC		0	3	0	0	0	1	3	1	0	0	3	1	3	0	1	0	1
	[H H1 H H VC] \-> H (H1 H) H VC		0	3	0	0	0	0	4	0	1	1	2	1	3	1	1	0	1
	[H H H1 H VC] \-> H (H H1) H VC		0	3	0	0	0	0	3	1	0	1	2	2	2	1	1	0	1
	[H H1 H H VC] \-> H (H1 H) H VC		0	3	0	0	0	0	4	0	1	1	2	1	3	1	1	0	1
	[H H H1 H VC] \-> H (H H1) H VC		0	3	0	0	0	0	3	1	0	1	2	2	2	1	1	0	1
	[H H H1 H VC] \-> H H (H1 H) VC		0	3	0	0	0	0	4	0	1	2	1	2	2	1	1	0	1
	[H H H H1 VC] \-> H H (H H1) VC		0	3	0	0	0	0	3	1	0	2	1	3	1	1	1	0	1
	[H H H H1 VC] \-> H H H (H1 VC)		0	3	0	0	1	0	4	0	0	3	0	3	1	1	0	0	1
	[H H H H1 VC] \-> H H H (H1 V)C		1	3	0	0	0	0	3	0	1	3	0	3	1	1	1	1	1
	[H H H H V1C] \-> H H H (H V1C)		0	3	0	1	1	0	3	1	0	3	0	4	0	1	0	0	1
	[H H H H V1C] \-> H H H (H V1)C		1	3	0	1	0	0	3	1	0	3	0	4	0	1	1	0	1
/H1 H H L V:/	[H1 H H L V:] \-> (H1) H H L V:	1	0	4	0	0	0	1	3	0	0	0	4	0	4	0	1	0	0
	[H H1 H L V:] \-> H (H1) H L V:		0	4	0	0	0	0	3	0	0	1	3	1	3	1	1	0	1
	[H H H1 L V:] \-> H H (H1) L V:		0	4	0	0	0	0	3	0	0	2	2	2	2	1	1	0	1
	[H H H L1 V:] \-> H H H (L1) V:		0	4	1	0	0	0	4	0	0	3	1	3	1	1	1	0	1
	[H H H L V:1] \-> H H H L (V:1)		0	4	0	1	1	0	3	0	0	4	0	4	0	1	0	0	1
	[H1 H H L V:] \-> (H1 H) H L V:		0	3	0	0	0	1	3	0	1	0	3	0	4	0	1	0	1
	[H H1 H L V:] \-> (H H1) H L V:		0	3	0	0	0	1	2	1	0	0	3	1	3	0	1	0	1
	[H H1 H L V:] \-> H (H1 H) L V:		0	3	0	0	0	0	3	0	1	1	2	1	3	1	1	0	1
	[H H H1 L V:] \-> H (H H1) L V:		0	3	0	0	0	0	2	1	0	1	2	2	2	1	1	0	1
	[H H1 H L V:] \-> H (H1 H) L V:		0	3	0	0	0	0	3	0	1	1	2	1	3	1	1	0	1
	[H H H1 L V:] \-> H (H H1) L V:		0	3	0	0	0	0	2	1	0	1	2	2	2	1	1	0	1
	[H H H1 L V:] \-> H H (H1 L) V:		0	3	0	0	0	0	3	0	1	2	1	2	2	1	1	1	1
	[H H H L1 V:] \-> H H (H L1) V:		0	3	0	0	0	0	3	1	0	2	1	3	1	1	1	0	1
	[H H H L1 V:] \-> H H H (L1 V:)		0	3	0	0	1	0	4	0	1	3	0	3	1	1	0	0	1
	[H H H L V:1] \-> H H H L (V:1)		0	4	0	1	1	0	3	0	0	4	0	4	0	1	0	0	1
/H1 H L H V/	[H1 H L H V] \-> (H1) H L H V	1	0	4	0	0	0	1	2	0	0	0	4	0	4	0	1	0	0
	[H H1 L H V] \-> H (H1) L H V		0	4	0	0	0	0	2	0	0	1	3	1	3	1	1	0	1
	[H H L1 H V] \-> H H (L1) H V		0	4	1	0	0	0	3	0	0	2	2	2	2	1	1	0	1
	[H H L H1 V] \-> H H L (H1) V		0	4	0	0	0	0	2	0	0	3	1	3	1	1	1	0	1
	[H H L H V1] \-> H H L H (V1)		0	4	1	1	1	0	3	0	0	4	0	4	0	1	0	0	1
	[H1 H L H V] \-> (H1 H) L H V		0	3	0	0	0	1	2	0	1	0	3	0	4	0	1	0	1
	[H H1 L H V] \-> (H H1) L H V		0	3	0	0	0	1	1	1	0	0	3	1	3	0	1	0	1
	[H H1 L H V] \-> H (H1 L) H V		0	3	0	0	0	0	2	0	1	1	2	1	3	1	1	1	1
	[H H L1 H V] \-> H (H L1) H V		0	3	0	0	0	0	2	1	0	1	2	2	2	1	1	0	1
	[H H1 L H V] \-> H (H1 L) H V		0	3	0	0	0	0	2	0	1	1	2	1	3	1	1	1	1
	[H H L1 H V] \-> H (H L1) H V		0	3	0	0	0	0	2	1	0	1	2	2	2	1	1	0	1
	[H H L1 H V] \-> H H (L1 H) V		0	3	0	0	0	0	3	0	1	2	1	2	2	1	1	0	1
	[H H L H1 V] \-> H H (L H1) V		0	3	0	0	0	0	2	1	0	2	1	3	1	1	1	0	1
	[H H L H1 V] \-> H H L (H1 V)		0	3	0	0	1	0	2	0	1	3	0	3	1	1	0	1	1
	[H H L H V1] \-> H H L H (V1)		0	4	1	1	1	0	3	0	0	4	0	4	0	1	0	0	1
/H1 H L H V:/	[H1 H L H V:] \-> (H1) H L H V:	1	0	4	0	0	0	1	3	0	0	0	4	0	4	0	1	0	0
	[H H1 L H V:] \-> H (H1) L H V:		0	4	0	0	0	0	3	0	0	1	3	1	3	1	1	0	1
	[H H L1 H V:] \-> H H (L1) H V:		0	4	1	0	0	0	4	0	0	2	2	2	2	1	1	0	1
	[H H L H1 V:] \-> H H L (H1) V:		0	4	0	0	0	0	3	0	0	3	1	3	1	1	1	0	1
	[H H L H V:1] \-> H H L H (V:1)		0	4	0	1	1	0	3	0	0	4	0	4	0	1	0	0	1
	[H1 H L H V:] \-> (H1 H) L H V:		0	3	0	0	0	1	3	0	1	0	3	0	4	0	1	0	1
	[H H1 L H V:] \-> (H H1) L H V:		0	3	0	0	0	1	2	1	0	0	3	1	3	0	1	0	1
	[H H1 L H V:] \-> H (H1 L) H V:		0	3	0	0	0	0	3	0	1	1	2	1	3	1	1	1	1
	[H H L1 H V:] \-> H (H L1) H V:		0	3	0	0	0	0	3	1	0	1	2	2	2	1	1	0	1
	[H H1 L H V:] \-> H (H1 L) H V:		0	3	0	0	0	0	3	0	1	1	2	1	3	1	1	1	1
	[H H L1 H V:] \-> H (H L1) H V:		0	3	0	0	0	0	3	1	0	1	2	2	2	1	1	0	1
	[H H L1 H V:] \-> H H (L1 H) V:		0	3	0	0	0	0	4	0	1	2	1	2	2	1	1	0	1
	[H H L H1 V:] \-> H H (L H1) V:		0	3	0	0	0	0	3	1	0	2	1	3	1	1	1	0	1
	[H H L H1 V:] \-> H H L (H1 V:)		0	3	0	0	1	0	3	0	1	3	0	3	1	1	0	0	1
	[H H L H V:1] \-> H H L H (V:1)		0	4	0	1	1	0	3	0	0	4	0	4	0	1	0	0	1
/H1 H L H V:C/	[H1 H L H V:C] \-> (H1) H L H V:C	1	0	4	0	0	0	1	3	0	0	0	4	0	4	0	1	0	0
	[H H1 L H V:C] \-> H (H1) L H V:C		0	4	0	0	0	0	3	0	0	1	3	1	3	1	1	0	1
	[H H L1 H V:C] \-> H H (L1) H V:C		0	4	1	0	0	0	4	0	0	2	2	2	2	1	1	0	1
	[H H L H1 V:C] \-> H H L (H1) V:C		0	4	0	0	0	0	3	0	0	3	1	3	1	1	1	0	1
	[H H L H V:1C] \-> H H L H (V:1C)		0	4	0	1	1	0	3	0	0	4	0	4	0	1	0	0	1
	[H H L H V:1C] \-> H H L H (V:1)C		1	4	0	1	0	0	3	0	0	4	0	4	0	1	1	0	1
	[H1 H L H V:C] \-> (H1 H) L H V:C		0	3	0	0	0	1	3	0	1	0	3	0	4	0	1	0	1
	[H H1 L H V:C] \-> (H H1) L H V:C		0	3	0	0	0	1	2	1	0	0	3	1	3	0	1	0	1
	[H H1 L H V:C] \-> H (H1 L) H V:C		0	3	0	0	0	0	3	0	1	1	2	1	3	1	1	1	1
	[H H L1 H V:C] \-> H (H L1) H V:C		0	3	0	0	0	0	3	1	0	1	2	2	2	1	1	0	1
	[H H1 L H V:C] \-> H (H1 L) H V:C		0	3	0	0	0	0	3	0	1	1	2	1	3	1	1	1	1
	[H H L1 H V:C] \-> H (H L1) H V:C		0	3	0	0	0	0	3	1	0	1	2	2	2	1	1	0	1
	[H H L1 H V:C] \-> H H (L1 H) V:C		0	3	0	0	0	0	4	0	1	2	1	2	2	1	1	0	1
	[H H L H1 V:C] \-> H H (L H1) V:C		0	3	0	0	0	0	3	1	0	2	1	3	1	1	1	0	1
	[H H L H1 V:C] \-> H H L (H1 V:C)		0	3	0	0	1	0	3	0	0	3	0	3	1	1	0	0	1
	[H H L H1 V:C] \-> H H L (H1 V:)C		1	3	0	0	0	0	3	0	1	3	0	3	1	1	1	0	1
	[H H L H V:1C] \-> H H L (H V:1C)		0	3	0	1	1	0	2	1	0	3	0	4	0	1	0	0	1
	[H H L H V:1C] \-> H H L (H V:1)C		1	3	0	1	0	0	2	1	0	3	0	4	0	1	1	0	1
/H1 H L H VC/	[H1 H L H VC] \-> (H1) H L H VC	1	0	4	0	0	0	1	3	0	0	0	4	0	4	0	1	0	0
	[H H1 L H VC] \-> H (H1) L H VC		0	4	0	0	0	0	3	0	0	1	3	1	3	1	1	0	1
	[H H L1 H VC] \-> H H (L1) H VC		0	4	1	0	0	0	4	0	0	2	2	2	2	1	1	0	1
	[H H L H1 VC] \-> H H L (H1) VC		0	4	0	0	0	0	3	0	0	3	1	3	1	1	1	0	1
	[H H L H V1C] \-> H H L H (V1C)		0	4	0	1	1	0	3	0	0	4	0	4	0	1	0	0	1
	[H H L H V1C] \-> H H L H (V1)C		1	4	1	1	0	0	3	0	0	4	0	4	0	1	1	0	1
	[H1 H L H VC] \-> (H1 H) L H VC		0	3	0	0	0	1	3	0	1	0	3	0	4	0	1	0	1
	[H H1 L H VC] \-> (H H1) L H VC		0	3	0	0	0	1	2	1	0	0	3	1	3	0	1	0	1
	[H H1 L H VC] \-> H (H1 L) H VC		0	3	0	0	0	0	3	0	1	1	2	1	3	1	1	1	1
	[H H L1 H VC] \-> H (H L1) H VC		0	3	0	0	0	0	3	1	0	1	2	2	2	1	1	0	1
	[H H1 L H VC] \-> H (H1 L) H VC		0	3	0	0	0	0	3	0	1	1	2	1	3	1	1	1	1
	[H H L1 H VC] \-> H (H L1) H VC		0	3	0	0	0	0	3	1	0	1	2	2	2	1	1	0	1
	[H H L1 H VC] \-> H H (L1 H) VC		0	3	0	0	0	0	4	0	1	2	1	2	2	1	1	0	1
	[H H L H1 VC] \-> H H (L H1) VC		0	3	0	0	0	0	3	1	0	2	1	3	1	1	1	0	1
	[H H L H1 VC] \-> H H L (H1 VC)		0	3	0	0	1	0	3	0	0	3	0	3	1	1	0	0	1
	[H H L H1 VC] \-> H H L (H1 V)C		1	3	0	0	0	0	2	0	1	3	0	3	1	1	1	1	1
	[H H L H V1C] \-> H H L (H V1C)		0	3	0	1	1	0	2	1	0	3	0	4	0	1	0	0	1
	[H H L H V1C] \-> H H L (H V1)C		1	3	0	1	0	0	2	1	0	3	0	4	0	1	1	0	1
/H1 H L L V:/	[H1 H L L V:] \-> (H1) H L L V:	1	0	4	0	0	0	1	2	0	0	0	4	0	4	0	1	0	0
	[H H1 L L V:] \-> H (H1) L L V:		0	4	0	0	0	0	2	0	0	1	3	1	3	1	1	0	1
	[H H L1 L V:] \-> H H (L1) L V:		0	4	1	0	0	0	3	0	0	2	2	2	2	1	1	0	1
	[H H L L1 V:] \-> H H L (L1) V:		0	4	1	0	0	0	3	0	0	3	1	3	1	1	1	0	1
	[H H L L V:1] \-> H H L L (V:1)		0	4	0	1	1	0	2	0	0	4	0	4	0	1	0	0	1
	[H1 H L L V:] \-> (H1 H) L L V:		0	3	0	0	0	1	2	0	1	0	3	0	4	0	1	0	1
	[H H1 L L V:] \-> (H H1) L L V:		0	3	0	0	0	1	1	1	0	0	3	1	3	0	1	0	1
	[H H1 L L V:] \-> H (H1 L) L V:		0	3	0	0	0	0	2	0	1	1	2	1	3	1	1	1	1
	[H H L1 L V:] \-> H (H L1) L V:		0	3	0	0	0	0	2	1	0	1	2	2	2	1	1	0	1
	[H H1 L L V:] \-> H (H1 L) L V:		0	3	0	0	0	0	2	0	1	1	2	1	3	1	1	1	1
	[H H L1 L V:] \-> H (H L1) L V:		0	3	0	0	0	0	2	1	0	1	2	2	2	1	1	0	1
	[H H L1 L V:] \-> H H (L1 L) V:		0	3	0	0	0	0	3	0	1	2	1	2	2	1	1	0	1
	[H H L L1 V:] \-> H H (L L1) V:		0	3	0	0	0	0	3	1	0	2	1	3	1	1	1	1	1
	[H H L L1 V:] \-> H H L (L1 V:)		0	3	0	0	1	0	3	0	1	3	0	3	1	1	0	0	1
	[H H L L V:1] \-> H H L L (V:1)		0	4	0	1	1	0	2	0	0	4	0	4	0	1	0	0	1
/H1 H L L V:C/	[H1 H L L V:C] \-> (H1) H L L V:C	1	0	4	0	0	0	1	2	0	0	0	4	0	4	0	1	0	0
	[H H1 L L V:C] \-> H (H1) L L V:C		0	4	0	0	0	0	2	0	0	1	3	1	3	1	1	0	1
	[H H L1 L V:C] \-> H H (L1) L V:C		0	4	1	0	0	0	3	0	0	2	2	2	2	1	1	0	1
	[H H L L1 V:C] \-> H H L (L1) V:C		0	4	1	0	0	0	3	0	0	3	1	3	1	1	1	0	1
	[H H L L V:1C] \-> H H L L (V:1C)		0	4	0	1	1	0	2	0	0	4	0	4	0	1	0	0	1
	[H H L L V:1C] \-> H H L L (V:1)C		1	4	0	1	0	0	2	0	0	4	0	4	0	1	1	0	1
	[H1 H L L V:C] \-> (H1 H) L L V:C		0	3	0	0	0	1	2	0	1	0	3	0	4	0	1	0	1
	[H H1 L L V:C] \-> (H H1) L L V:C		0	3	0	0	0	1	1	1	0	0	3	1	3	0	1	0	1
	[H H1 L L V:C] \-> H (H1 L) L V:C		0	3	0	0	0	0	2	0	1	1	2	1	3	1	1	1	1
	[H H L1 L V:C] \-> H (H L1) L V:C		0	3	0	0	0	0	2	1	0	1	2	2	2	1	1	0	1
	[H H1 L L V:C] \-> H (H1 L) L V:C		0	3	0	0	0	0	2	0	1	1	2	1	3	1	1	1	1
	[H H L1 L V:C] \-> H (H L1) L V:C		0	3	0	0	0	0	2	1	0	1	2	2	2	1	1	0	1
	[H H L1 L V:C] \-> H H (L1 L) V:C		0	3	0	0	0	0	3	0	1	2	1	2	2	1	1	0	1
	[H H L L1 V:C] \-> H H (L L1) V:C		0	3	0	0	0	0	3	1	0	2	1	3	1	1	1	1	1
	[H H L L1 V:C] \-> H H L (L1 V:C)		0	3	0	0	1	0	3	0	0	3	0	3	1	1	0	0	1
	[H H L L1 V:C] \-> H H L (L1 V:)C		1	3	0	0	0	0	3	0	1	3	0	3	1	1	1	0	1
	[H H L L V:1C] \-> H H L (L V:1C)		0	3	0	1	1	0	2	1	0	3	0	4	0	1	0	0	1
	[H H L L V:1C] \-> H H L (L V:1)C		1	3	0	1	0	0	2	1	0	3	0	4	0	1	1	0	1
/H1 H L L VC/	[H1 H L L VC] \-> (H1) H L L VC	1	0	4	0	0	0	1	2	0	0	0	4	0	4	0	1	0	0
	[H H1 L L VC] \-> H (H1) L L VC		0	4	0	0	0	0	2	0	0	1	3	1	3	1	1	0	1
	[H H L1 L VC] \-> H H (L1) L VC		0	4	1	0	0	0	3	0	0	2	2	2	2	1	1	0	1
	[H H L L1 VC] \-> H H L (L1) VC		0	4	1	0	0	0	3	0	0	3	1	3	1	1	1	0	1
	[H H L L V1C] \-> H H L L (V1C)		0	4	0	1	1	0	2	0	0	4	0	4	0	1	0	0	1
	[H H L L V1C] \-> H H L L (V1)C		1	4	1	1	0	0	2	0	0	4	0	4	0	1	1	0	1
	[H1 H L L VC] \-> (H1 H) L L VC		0	3	0	0	0	1	2	0	1	0	3	0	4	0	1	0	1
	[H H1 L L VC] \-> (H H1) L L VC		0	3	0	0	0	1	1	1	0	0	3	1	3	0	1	0	1
	[H H1 L L VC] \-> H (H1 L) L VC		0	3	0	0	0	0	2	0	1	1	2	1	3	1	1	1	1
	[H H L1 L VC] \-> H (H L1) L VC		0	3	0	0	0	0	2	1	0	1	2	2	2	1	1	0	1
	[H H1 L L VC] \-> H (H1 L) L VC		0	3	0	0	0	0	2	0	1	1	2	1	3	1	1	1	1
	[H H L1 L VC] \-> H (H L1) L VC		0	3	0	0	0	0	2	1	0	1	2	2	2	1	1	0	1
	[H H L1 L VC] \-> H H (L1 L) VC		0	3	0	0	0	0	3	0	1	2	1	2	2	1	1	0	1
	[H H L L1 VC] \-> H H (L L1) VC		0	3	0	0	0	0	3	1	0	2	1	3	1	1	1	1	1
	[H H L L1 VC] \-> H H L (L1 VC)		0	3	0	0	1	0	3	0	0	3	0	3	1	1	0	0	1
	[H H L L1 VC] \-> H H L (L1 V)C		1	3	0	0	0	0	2	0	1	3	0	3	1	1	1	0	1
	[H H L L V1C] \-> H H L (L V1C)		0	3	0	1	1	0	2	1	0	3	0	4	0	1	0	0	1
	[H H L L V1C] \-> H H L (L V1)C		1	3	0	1	0	0	2	1	0	3	0	4	0	1	1	1	1
/H1 L H H V/	[H1 L H H V] \-> (H1) L H H V	1	0	4	0	0	0	1	2	0	0	0	4	0	4	0	1	0	0
	[H L1 H H V] \-> H (L1) H H V		0	4	1	0	0	0	3	0	0	1	3	1	3	1	1	0	1
	[H L H1 H V] \-> H L (H1) H V		0	4	0	0	0	0	2	0	0	2	2	2	2	1	1	0	1
	[H L H H1 V] \-> H L H (H1) V		0	4	0	0	0	0	2	0	0	3	1	3	1	1	1	0	1
	[H L H H V1] \-> H L H H (V1)		0	4	1	1	1	0	3	0	0	4	0	4	0	1	0	0	1
	[H1 L H H V] \-> (H1 L) H H V		0	3	0	0	0	1	2	0	1	0	3	0	4	0	1	1	1
	[H L1 H H V] \-> (H L1) H H V		0	3	0	0	0	1	2	1	0	0	3	1	3	0	1	0	1
	[H L1 H H V] \-> H (L1 H) H V		0	3	0	0	0	0	3	0	1	1	2	1	3	1	1	0	1
	[H L H1 H V] \-> H (L H1) H V		0	3	0	0	0	0	2	1	0	1	2	2	2	1	1	0	1
	[H L1 H H V] \-> H (L1 H) H V		0	3	0	0	0	0	3	0	1	1	2	1	3	1	1	0	1
	[H L H1 H V] \-> H (L H1) H V		0	3	0	0	0	0	2	1	0	1	2	2	2	1	1	0	1
	[H L H1 H V] \-> H L (H1 H) V		0	3	0	0	0	0	2	0	1	2	1	2	2	1	1	0	1
	[H L H H1 V] \-> H L (H H1) V		0	3	0	0	0	0	1	1	0	2	1	3	1	1	1	0	1
	[H L H H1 V] \-> H L H (H1 V)		0	3	0	0	1	0	2	0	1	3	0	3	1	1	0	1	1
	[H L H H V1] \-> H L H H (V1)		0	4	1	1	1	0	3	0	0	4	0	4	0	1	0	0	1
/H1 L H H V:/	[H1 L H H V:] \-> (H1) L H H V:	1	0	4	0	0	0	1	3	0	0	0	4	0	4	0	1	0	0
	[H L1 H H V:] \-> H (L1) H H V:		0	4	1	0	0	0	4	0	0	1	3	1	3	1	1	0	1
	[H L H1 H V:] \-> H L (H1) H V:		0	4	0	0	0	0	3	0	0	2	2	2	2	1	1	0	1
	[H L H H1 V:] \-> H L H (H1) V:		0	4	0	0	0	0	3	0	0	3	1	3	1	1	1	0	1
	[H L H H V:1] \-> H L H H (V:1)		0	4	0	1	1	0	3	0	0	4	0	4	0	1	0	0	1
	[H1 L H H V:] \-> (H1 L) H H V:		0	3	0	0	0	1	3	0	1	0	3	0	4	0	1	1	1
	[H L1 H H V:] \-> (H L1) H H V:		0	3	0	0	0	1	3	1	0	0	3	1	3	0	1	0	1
	[H L1 H H V:] \-> H (L1 H) H V:		0	3	0	0	0	0	4	0	1	1	2	1	3	1	1	0	1
	[H L H1 H V:] \-> H (L H1) H V:		0	3	0	0	0	0	3	1	0	1	2	2	2	1	1	0	1
	[H L1 H H V:] \-> H (L1 H) H V:		0	3	0	0	0	0	4	0	1	1	2	1	3	1	1	0	1
	[H L H1 H V:] \-> H (L H1) H V:		0	3	0	0	0	0	3	1	0	1	2	2	2	1	1	0	1
	[H L H1 H V:] \-> H L (H1 H) V:		0	3	0	0	0	0	3	0	1	2	1	2	2	1	1	0	1
	[H L H H1 V:] \-> H L (H H1) V:		0	3	0	0	0	0	2	1	0	2	1	3	1	1	1	0	1
	[H L H H1 V:] \-> H L H (H1 V:)		0	3	0	0	1	0	3	0	1	3	0	3	1	1	0	0	1
	[H L H H V:1] \-> H L H H (V:1)		0	4	0	1	1	0	3	0	0	4	0	4	0	1	0	0	1
/H1 L H H VC/	[H1 L H H VC] \-> (H1) L H H VC	1	0	4	0	0	0	1	3	0	0	0	4	0	4	0	1	0	0
	[H L1 H H VC] \-> H (L1) H H VC		0	4	1	0	0	0	4	0	0	1	3	1	3	1	1	0	1
	[H L H1 H VC] \-> H L (H1) H VC		0	4	0	0	0	0	3	0	0	2	2	2	2	1	1	0	1
	[H L H H1 VC] \-> H L H (H1) VC		0	4	0	0	0	0	3	0	0	3	1	3	1	1	1	0	1
	[H L H H V1C] \-> H L H H (V1C)		0	4	0	1	1	0	3	0	0	4	0	4	0	1	0	0	1
	[H L H H V1C] \-> H L H H (V1)C		1	4	1	1	0	0	3	0	0	4	0	4	0	1	1	0	1
	[H1 L H H VC] \-> (H1 L) H H VC		0	3	0	0	0	1	3	0	1	0	3	0	4	0	1	1	1
	[H L1 H H VC] \-> (H L1) H H VC		0	3	0	0	0	1	3	1	0	0	3	1	3	0	1	0	1
	[H L1 H H VC] \-> H (L1 H) H VC		0	3	0	0	0	0	4	0	1	1	2	1	3	1	1	0	1
	[H L H1 H VC] \-> H (L H1) H VC		0	3	0	0	0	0	3	1	0	1	2	2	2	1	1	0	1
	[H L1 H H VC] \-> H (L1 H) H VC		0	3	0	0	0	0	4	0	1	1	2	1	3	1	1	0	1
	[H L H1 H VC] \-> H (L H1) H VC		0	3	0	0	0	0	3	1	0	1	2	2	2	1	1	0	1
	[H L H1 H VC] \-> H L (H1 H) VC		0	3	0	0	0	0	3	0	1	2	1	2	2	1	1	0	1
	[H L H H1 VC] \-> H L (H H1) VC		0	3	0	0	0	0	2	1	0	2	1	3	1	1	1	0	1
	[H L H H1 VC] \-> H L H (H1 VC)		0	3	0	0	1	0	3	0	0	3	0	3	1	1	0	0	1
	[H L H H1 VC] \-> H L H (H1 V)C		1	3	0	0	0	0	2	0	1	3	0	3	1	1	1	1	1
	[H L H H V1C] \-> H L H (H V1C)		0	3	0	1	1	0	2	1	0	3	0	4	0	1	0	0	1
	[H L H H V1C] \-> H L H (H V1)C		1	3	0	1	0	0	2	1	0	3	0	4	0	1	1	0	1
/H1 L H L V/	[H1 L H L V] \-> (H1) L H L V	1	0	4	0	0	0	1	1	0	0	0	4	0	4	0	1	0	0
	[H L1 H L V] \-> H (L1) H L V		0	4	1	0	0	0	2	0	0	1	3	1	3	1	1	0	1
	[H L H1 L V] \-> H L (H1) L V		0	4	0	0	0	0	1	0	0	2	2	2	2	1	1	0	1
	[H L H L1 V] \-> H L H (L1) V		0	4	1	0	0	0	2	0	0	3	1	3	1	1	1	0	1
	[H L H L V1] \-> H L H L (V1)		0	4	1	1	1	0	2	0	0	4	0	4	0	1	0	0	1
	[H1 L H L V] \-> (H1 L) H L V		0	3	0	0	0	1	1	0	1	0	3	0	4	0	1	1	1
	[H L1 H L V] \-> (H L1) H L V		0	3	0	0	0	1	1	1	0	0	3	1	3	0	1	0	1
	[H L1 H L V] \-> H (L1 H) L V		0	3	0	0	0	0	2	0	1	1	2	1	3	1	1	0	1
	[H L H1 L V] \-> H (L H1) L V		0	3	0	0	0	0	1	1	0	1	2	2	2	1	1	0	1
	[H L1 H L V] \-> H (L1 H) L V		0	3	0	0	0	0	2	0	1	1	2	1	3	1	1	0	1
	[H L H1 L V] \-> H (L H1) L V		0	3	0	0	0	0	1	1	0	1	2	2	2	1	1	0	1
	[H L H1 L V] \-> H L (H1 L) V		0	3	0	0	0	0	1	0	1	2	1	2	2	1	1	1	1
